nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),resultats experimentals (kcal/mol)
methyl hexanoate,mobley_1017962,-2.49,-2.49
butan-1-ol,mobley_1019269,-4.72,-4.72
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",mobley_1034539,-3.04,-3.04
cyclohexanamine,mobley_1036761,-4.59,-4.59
phenyl formate,mobley_1046331,-3.82,-3.82
methyl propanoate,mobley_1075836,-2.93,-2.93
"1,3-dichlorobenzene",mobley_1079207,-0.98,-0.98
iodoethane,mobley_1107178,-0.74,-0.74
"2,2,4-trimethylpentane",mobley_1139153,2.89,2.89
ethoxyethane,mobley_1144156,-1.59,-1.59
"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",mobley_1160109,-3.75,-3.75
2-chlorophenol,mobley_1178614,-4.55,-4.55
methylsulfanylbenzene,mobley_1189457,-2.73,-2.73
1-iodopropane,mobley_1199854,-0.53,-0.53
2-chloropropane,mobley_1231151,-0.25,-0.25
1-nitropentane,mobley_1235151,-2.82,-2.82
cycloheptanol,mobley_1244778,-5.48,-5.48
neopentane,mobley_1261349,2.51,2.51
hexachloroethane,mobley_1278715,-0.64,-0.64
1-butoxybutane,mobley_129464,-0.83,-0.83
triethylphosphate,mobley_1323538,-7.50,-7.50
"1,1,2-trichloroethane",mobley_1328465,-1.99,-1.99
methyl 4-nitrobenzoate,mobley_1328936,-6.88,-6.88
pebulate,mobley_1352110,-3.64,-3.64
"3,5-dimethylpyridine",mobley_1363784,-4.84,-4.84
pentachloronitrobenzene,mobley_1396156,-5.22,-5.22
captan,mobley_1417007,-9.01,-9.01
m-xylene,mobley_1424265,-0.83,-0.83
1-isopropyl-4-methyl-benzene,mobley_1449384,-0.68,-0.68
"2,3-dichlorodibenzo-p-dioxin",mobley_1469079,-3.56,-3.56
nonan-2-one,mobley_1502181,-2.49,-2.49
4-methylpyridine,mobley_1520842,-4.93,-4.93
flurbiprofen,mobley_1527293,-8.42,-8.42
butane-1-thiol,mobley_1563176,-0.99,-0.99
"2,3-dimethylphenol",mobley_1571523,-6.16,-6.16
ethyl hexanoate,mobley_1592519,-2.23,-2.23
2-isopropoxypropane,mobley_1615431,-0.53,-0.53
methanol,mobley_1636752,-5.10,-5.10
2-methylpropan-2-ol,mobley_1650157,-4.47,-4.47
morpholine,mobley_1659169,-7.17,-7.17
but-1-ene,mobley_1662128,1.38,1.38
hex-1-yne,mobley_1674094,0.29,0.29
methylsulfonylmethane,mobley_1708457,-10.08,-10.08
methyl formate,mobley_1717215,-2.78,-2.78
ethyl butanoate,mobley_1722522,-2.49,-2.49
octafluorocyclobutane,mobley_1723043,3.43,3.43
benzamide,mobley_1728386,-11.00,-11.00
dibenzo-p-dioxin,mobley_172879,-3.15,-3.15
4-bromophenol,mobley_1733799,-5.85,-5.85
hexanoic acid,mobley_1735893,-6.21,-6.21
diethyl butanedioate,mobley_1743409,-5.71,-5.71
"2,6-dimethylphenol",mobley_1755375,-5.26,-5.26
1-chloro-2-methyl-benzene,mobley_1760914,-1.14,-1.14
"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",mobley_1770205,-10.03,-10.03
"methyl 2,2-dimethylpropanoate",mobley_1781152,-2.40,-2.40
"1,2-dibromoethane",mobley_1792062,-2.33,-2.33
ethanethiol,mobley_1800170,-1.14,-1.14
isopentane,mobley_1803862,2.38,2.38
3-methyl-1H-indole,mobley_1821184,-5.88,-5.88
hexanal,mobley_1827204,-2.81,-2.81
"1,1,2-trichloro-1,2,2-trifluoro-ethane",mobley_1838110,1.77,1.77
4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,mobley_1849020,-6.50,-6.50
"1,2,3,5-tetrachlorobenzene",mobley_1855337,-1.62,-1.62
"1,2-dichloroethane",mobley_1857976,-1.79,-1.79
2-phenylethanol,mobley_1858644,-6.79,-6.79
propanethiol,mobley_186894,-1.10,-1.10
toluene,mobley_1873346,-0.90,-0.90
pentan-3-one,mobley_1875719,-3.41,-3.41
pentan-2-one,mobley_1881249,-3.52,-3.52
"1,1,1,2-tetrachloroethane",mobley_1893815,-1.43,-1.43
1-chlorohexane,mobley_1893937,0.00,0.00
"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",mobley_1896013,-20.52,-20.52
2-methylpent-1-ene,mobley_1899443,1.47,1.47
butan-2-ol,mobley_1903702,-4.62,-4.62
benzyl bromide,mobley_1905088,-2.38,-2.38
methylparathion,mobley_1922649,-7.19,-7.19
n-butane,mobley_1923244,2.10,2.10
hydrogen sulfide,mobley_1929982,-0.70,-0.70
bromacil,mobley_194273,-9.73,-9.73
[2-benzhydryloxyethyl]-dimethyl-amine,mobley_1944394,-9.34,-9.34
nitromethane,mobley_1952272,-4.02,-4.02
N-methylacetamide,mobley_1963873,-10.00,-10.00
acetaldehyde,mobley_1967551,-3.50,-3.50
1-cyclopropylethanone,mobley_197466,-4.61,-4.61
nonanal,mobley_1976156,-2.07,-2.07
1-chloropropane,mobley_1977493,-0.33,-0.33
mesitylene,mobley_1987439,-0.90,-0.90
biphenyl,mobley_2005792,-2.70,-2.70
ethane,mobley_2008055,1.83,1.83
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",mobley_2023925,0.10,0.10
1-cyclohexylethanone,mobley_2043882,-3.90,-3.90
methylsulfanylethane,mobley_2049967,-1.50,-1.50
phenol,mobley_20524,-6.60,-6.60
propane,mobley_2068538,2.00,2.00
ibuprofen,mobley_2078467,-7.00,-7.00
ketoprofen,mobley_2099370,-10.78,-10.78
2-iodopropane,mobley_210639,-0.46,-0.46
4-hydroxybenzonitrile,mobley_2123854,-10.17,-10.17
2-ethylphenol,mobley_2126135,-5.66,-5.66
3-methylbut-1-ene,mobley_2143011,1.83,1.83
formaldehyde,mobley_2146331,-2.75,-2.75
1-chloro-pentane,mobley_2178600,-0.10,-0.10
sec-butylbenzene,mobley_2183616,-0.45,-0.45
decane,mobley_2197088,3.16,3.16
chloroethane,mobley_2198613,-0.63,-0.63
3-methylpentane,mobley_2213823,2.51,2.51
2-methylpropan-1-ol,mobley_2245668,-4.50,-4.50
acenaphthene,mobley_2261979,-3.15,-3.15
naproxen,mobley_2269032,-10.21,-10.21
trimethoxymethane,mobley_2279874,-4.42,-4.42
ethyl formate,mobley_2294995,-2.56,-2.56
methyl paraben,mobley_2295058,-9.51,-9.51
ethanol,mobley_2310185,-5.00,-5.00
"1-(2-hydroxyethylamino)-9,10-anthraquinone",mobley_2316618,-14.21,-14.21
pentylcyclopentane,mobley_2328633,2.55,2.55
methyl pentanoate,mobley_2341732,-2.56,-2.56
3-ethylphenol,mobley_2354112,-6.25,-6.25
butyl acetate,mobley_2364370,-2.64,-2.64
"3,4-dimethylpyridine",mobley_2371092,-5.22,-5.22
heptan-4-one,mobley_2390199,-2.92,-2.92
diethyl propanedioate,mobley_2402487,-6.00,-6.00
ethanamine,mobley_2410897,-4.50,-4.50
1-methoxypropane,mobley_2422586,-1.66,-1.66
"1,4-diamino-9,10-anthracenedione",mobley_242480,-11.85,-11.85
benzonitrile,mobley_2451097,-4.10,-4.10
3-methoxyphenol,mobley_2457863,-7.66,-7.66
trichloro(nitro)methane,mobley_2481002,-1.45,-1.45
benzyl chloride,mobley_2484519,-1.93,-1.93
hexan-2-one,mobley_2487143,-3.28,-3.28
"1,2-dichlorobenzene",mobley_2489709,-1.36,-1.36
"1,1,1,2,2-pentachloroethane",mobley_2492140,-1.23,-1.23
"1,1-dichloroethylene",mobley_2493732,0.25,0.25
profluralin,mobley_2501588,-2.45,-2.45
1-bromoheptane,mobley_2517158,0.34,0.34
dialifor,mobley_2518989,-5.74,-5.74
5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,mobley_2523689,-16.43,-16.43
"2,2-dimethylpentane",mobley_252413,2.88,2.88
pyrene,mobley_2577969,-4.52,-4.52
hexyl acetate,mobley_2607611,-2.26,-2.26
"3,3-dimethylpentane",mobley_2609604,2.56,2.56
"1,2-dimethoxybenzene",mobley_2613240,-5.33,-5.33
3-nitrooxypropyl nitrate,mobley_2636578,-4.80,-4.80
"N,N-4-trimethylbenzamide",mobley_2659552,-9.76,-9.76
3-hydroxybenzonitrile,mobley_2661134,-9.65,-9.65
"1,3,5-trichlorobenzene",mobley_2681549,-0.78,-0.78
cyclohexane,mobley_2689721,1.23,1.23
2-isobutylpyrazine,mobley_2693089,-5.04,-5.04
nitralin,mobley_2725215,-7.98,-7.98
1-pyrrolidin-1-ylethanone,mobley_2725802,-9.80,-9.80
5-iodouracil,mobley_2727678,-18.72,-18.72
4-nitrophenol,mobley_2751110,-10.64,-10.64
ethoxybenzene,mobley_2763835,-2.22,-2.22
1-methylpiperazine,mobley_2771569,-7.77,-7.77
phthalimide,mobley_2782339,-9.61,-9.61
cyclopropane,mobley_2784376,0.75,0.75
3-chloropyridine,mobley_2789243,-4.01,-4.01
(2E)-hex-2-enal,mobley_2792521,-3.68,-3.68
1-bromobutane,mobley_2802855,-0.40,-0.40
naphthalene,mobley_282648,-2.40,-2.40
pyrrole,mobley_2837389,-4.78,-4.78
"1,2,3,7-tetrachlorodibenzo-p-dioxin",mobley_2844990,-3.84,-3.84
"2,3,7,8-tetrachlorodibenzo-p-dioxin",mobley_2845466,-3.37,-3.37
2-hydroxybenzaldehyde,mobley_2850833,-4.68,-4.68
styrene,mobley_2859600,-1.24,-1.24
pentan-2-ol,mobley_2864987,-4.39,-4.39
isobutyl nitrate,mobley_2881590,-1.88,-1.88
acetylsalicylic acid,mobley_2913224,-9.94,-9.94
4-ethylphenol,mobley_2923700,-6.13,-6.13
p-cresol,mobley_2925352,-6.13,-6.13
3-methylbutanoic acid,mobley_2929847,-6.09,-6.09
N-propylpropan-1-amine,mobley_2958326,-3.65,-3.65
"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",mobley_2960202,-3.71,-3.71
pyridine,mobley_296847,-4.69,-4.69
"9,10-dihydroanthracene",mobley_2972345,-3.78,-3.78
thiophene,mobley_2972906,-1.40,-1.40
2-methylprop-1-ene,mobley_299266,1.16,1.16
chloroform,mobley_2996632,-1.08,-1.08
"2,2,2-trifluoroethanol",mobley_3006808,-4.31,-4.31
prop-1-ene,mobley_303222,1.32,1.32
acetic acid,mobley_3034976,-6.69,-6.69
1-ethyl-2-methylbenzene,mobley_3040612,-0.85,-0.85
"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",mobley_3047364,-7.65,-7.65
benzene,mobley_3053621,-0.90,-0.90
"2,2,5-trimethylhexane",mobley_3060426,2.93,2.93
dimethoxymethane,mobley_3083321,-2.93,-2.93
terbacil,mobley_3105103,-11.14,-11.14
propan-1-ol,mobley_313406,-4.85,-4.85
"2,5-dimethylphenol",mobley_3144334,-5.91,-5.91
decan-1-ol,mobley_3151666,-3.64,-3.64
octane,mobley_3167746,2.88,2.88
2-chloroaniline,mobley_3169935,-4.91,-4.91
"1,2,4-trimethylbenzene",mobley_3183805,-0.86,-0.86
2-methylaniline,mobley_3187514,-5.53,-5.53
pirimor,mobley_3201701,-9.41,-9.41
"1,2-dinitroxypropane",mobley_3210206,-4.95,-4.95
cyclohexene,mobley_3211679,0.14,0.14
p-xylene,mobley_3234716,-0.80,-0.80
glycerol,mobley_3259411,-13.43,-13.43
naphthalen-2-amine,mobley_3264884,-7.47,-7.47
2-chlorosyringaldehyde,mobley_3265457,-7.78,-7.78
"N-methyl-N-(2,2,2-trifluoroethyl)aniline",mobley_3266352,-1.92,-1.92
2-methoxypropane,mobley_3269565,-2.01,-2.01
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",mobley_3269819,-3.17,-3.17
"2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",mobley_3274817,-6.23,-6.23
nonan-5-one,mobley_3318135,-2.64,-2.64
sulfolane,mobley_3323117,-8.61,-8.61
trimethoxymethylbenzene,mobley_3325209,-4.04,-4.04
4-propylguaiacol,mobley_3359593,-5.26,-5.26
"1,1-difluoroethane",mobley_3370989,-0.11,-0.11
5-fluorouracil,mobley_337666,-16.92,-16.92
nonan-1-ol,mobley_3378420,-3.88,-3.88
tetrahydropyran,mobley_3395921,-3.12,-3.12
iodobenzene,mobley_3398536,-1.74,-1.74
2-methylpentan-2-ol,mobley_3414356,-3.92,-3.92
chloro-fluoro-methane,mobley_3425174,-0.77,-0.77
"1,2,3-trimethylbenzene",mobley_3452749,-1.21,-1.21
1-(p-tolyl)ethanone,mobley_349850,-4.70,-4.70
2-methoxyphenol,mobley_3515580,-5.94,-5.94
2-acetoxyethyl acetate,mobley_352111,-6.34,-6.34
pentylbenzene,mobley_3525176,-0.23,-0.23
hexan-1-ol,mobley_3546460,-4.40,-4.40
pentyl propanoate,mobley_3572203,-2.11,-2.11
heptan-2-one,mobley_3573480,-3.04,-3.04
"2-chloro-1,1,1-trimethoxy-ethane",mobley_3589456,-4.59,-4.59
octan-1-ol,mobley_36119,-4.09,-4.09
1-chlorobutane,mobley_3639400,-0.16,-0.16
naphthalen-2-ol,mobley_3663158,-8.11,-8.11
cyclohexanone,mobley_3682850,-4.91,-4.91
"1,1-diethoxyethane",mobley_3686115,-3.28,-3.28
propyl butanoate,mobley_3690931,-2.28,-2.28
non-1-ene,mobley_3709920,2.06,2.06
"1,4-dimethylnaphthalene",mobley_3715043,-2.82,-2.82
quinone,mobley_3727287,-6.50,-6.50
1-bromo-pentane,mobley_3738859,-0.10,-0.10
isopropenylbenzene,mobley_3746675,-1.24,-1.24
"1,1,1-trichloroethane",mobley_3761215,-0.19,-0.19
dichloromethane,mobley_3762186,-1.31,-1.31
1-methylpyrrole,mobley_3775790,-2.89,-2.89
3-nitroaniline,mobley_3777264,-8.84,-8.84
hexyl nitrate,mobley_3802803,-1.66,-1.66
naphthalen-1-amine,mobley_3843583,-7.28,-7.28
acetone,mobley_3867265,-3.80,-3.80
cyclopentanone,mobley_3968043,-4.70,-4.70
methyl benzoate,mobley_3968739,-3.92,-3.92
benzaldehyde,mobley_3969312,-4.02,-4.02
ethyl benzoate,mobley_397645,-3.64,-3.64
"1,2,3,4,7-pentachlorodibenzo-p-dioxin",mobley_3976574,-4.15,-4.15
"1,2,3-trichlorobenzene",mobley_3980099,-1.24,-1.24
methyl acetate,mobley_3982371,-3.13,-3.13
"1,1-dichloroethane",mobley_3999471,-0.84,-0.84
"2,4-dimethylpentan-3-one",mobley_4013838,-2.74,-2.74
o-cresol,mobley_4035953,-5.90,-5.90
5-bromouracil,mobley_4039055,-18.17,-18.17
pent-1-ene,mobley_4043951,1.68,1.68
2-methylhexane,mobley_4043987,2.93,2.93
"1,4-dimethylpiperazine",mobley_4059279,-7.58,-7.58
"2,7-dichlorodibenzo-p-dioxin",mobley_4149784,-3.67,-3.67
"2,3,4-trimethylpentane",mobley_4177472,2.56,2.56
"N,N-dimethylbenzamide",mobley_4188615,-9.29,-9.29
nitrobenzene,mobley_4193752,-4.12,-4.12
4-methoxyaniline,mobley_4218209,-7.48,-7.48
"1,2,3,4-tetrachlorobenzene",mobley_4219614,-1.34,-1.34
isobutylbenzene,mobley_4252724,0.16,0.16
2-methylpyridine,mobley_4287564,-4.63,-4.63
2-chloropyridine,mobley_4291494,-4.39,-4.39
pent-1-yne,mobley_430089,0.01,0.01
propanenitrile,mobley_4305650,-3.84,-3.84
6-chlorouracil,mobley_4338603,-15.83,-15.83
iodomethane,mobley_4364398,-0.89,-0.89
"1-amino-4-hydroxy-9,10-anthracenedione",mobley_4371692,-9.53,-9.53
nonane,mobley_4375719,3.13,3.13
4-chloro-3-methyl-phenol,mobley_4395315,-6.79,-6.79
chloromethane,mobley_4434915,-0.55,-0.55
1-acetoxyethyl acetate,mobley_4463913,-4.97,-4.97
"(Z)-1,2-dichloroethylene",mobley_4465023,-1.17,-1.17
"1,1-diphenylethene",mobley_4479135,-2.78,-2.78
fluorobenzene,mobley_4483973,-0.80,-0.80
1-bromo-4-methyl-benzene,mobley_4494568,-1.39,-1.39
"2-bromo-2-chloro-1,1,1-trifluoro-ethane",mobley_4506634,-0.11,-0.11
"1,4-dichlorobenzene",mobley_4553008,-1.01,-1.01
"2,3-dimethylbutane",mobley_4561957,2.34,2.34
"2,6-dimethylpyridine",mobley_4584540,-4.59,-4.59
"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",mobley_4587267,-23.62,-23.62
1-chloro-2-(2-chloroethoxy)ethane,mobley_4603202,-4.23,-4.23
ethyl paraben,mobley_4609460,-9.20,-9.20
1-benzylimidazole,mobley_4613090,-7.63,-7.63
methyl cyclopropanecarboxylate,mobley_4620651,-4.10,-4.10
"1,2-dimethoxyethane",mobley_4630641,-4.84,-4.84
ethylene glycol,mobley_4639255,-9.30,-9.30
m-bis(trifluoromethyl)benzene,mobley_4678740,1.07,1.07
4-propylphenol,mobley_4683624,-5.21,-5.21
2-propoxyethanol,mobley_4687447,-6.40,-6.40
heptachlor,mobley_468867,-2.55,-2.55
2-acetoxyethyl acetate,mobley_4689084,-6.34,-6.34
"1,2-diethoxyethane",mobley_4690963,-3.54,-3.54
octanal,mobley_4694328,-2.29,-2.29
"1,2-dichloropropane",mobley_4699732,-1.27,-1.27
"1,2-dimethylcyclohexane",mobley_4715906,1.58,1.58
1-iodoheptane,mobley_4759887,0.27,0.27
hept-1-ene,mobley_4762983,1.66,1.66
"2,4-dimethylphenol",mobley_4780078,-6.01,-6.01
pentanoic acid,mobley_4792268,-6.16,-6.16
hexachlorobenzene,mobley_4845722,-2.33,-2.33
methanesulfonyl chloride,mobley_4850657,-4.87,-4.87
"2,6-dimethoxyphenol",mobley_486214,-6.96,-6.96
aniline,mobley_4883284,-5.49,-5.49
3-ethylpyridine,mobley_4884177,-4.59,-4.59
pentanenitrile,mobley_4893032,-3.52,-3.52
isopentyl formate,mobley_4924862,-2.13,-2.13
hept-1-yne,mobley_49274,0.60,0.60
diethoxymethoxybenzene,mobley_4934872,-5.23,-5.23
"2-(2,3-dimethylphenyl)aminobenzoic acid",mobley_4936555,-6.78,-6.78
nitroxyacetone,mobley_4964807,-5.99,-5.99
ethylsulfanylethane,mobley_4983965,-1.46,-1.46
"2-amino-9,10-anthraquinone",mobley_5003962,-11.53,-11.53
4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,mobley_5006685,-4.09,-4.09
pyridine-4-carbonitrile,mobley_5026370,-6.02,-6.02
1-propylsulfanylpropane,mobley_5052949,-1.28,-1.28
2-methyltetrahydrofuran,mobley_5056289,-3.30,-3.30
2-nitrophenol,mobley_5063386,-4.58,-4.58
2-methoxyaniline,mobley_5072416,-6.12,-6.12
"1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",mobley_5076071,-5.66,-5.66
heptan-1-ol,mobley_5079234,-4.21,-4.21
indane,mobley_5094777,-1.46,-1.46
"2,6-dimethylnaphthalene",mobley_5110043,-2.63,-2.63
